Cuisine,Factor,Value
American,Cross-contamination,2
American,Inadequate heat treatment,4
American,Storage too long,4
American,Infected food handler,4
American,Poor personal hygiene,1
American,Poor hand-washing facilities,0
British,Cross-contamination,29
British,Inadequate heat treatment,20
British,Storage too long,16
British,Infected food handler,21
British,Poor personal hygiene,7
British,Poor hand-washing facilities,5
Chinese,Cross-contamination,80
Chinese,Inadequate heat treatment,50
Chinese,Storage too long,38
Chinese,Infected food handler,30
Chinese,Poor personal hygiene,14
Chinese,Poor hand-washing facilities,15
Continental/ European,Cross-contamination,11
Continental/ European,Inadequate heat treatment,12
Continental/ European,Storage too long,10
Continental/ European,Infected food handler,6
Continental/ European,Poor personal hygiene,2
Continental/ European,Poor hand-washing facilities,1
Indian,Cross-contamination,32
Indian,Inadequate heat treatment,21
Indian,Storage too long,27
Indian,Infected food handler,18
Indian,Poor personal hygiene,6
Indian,Poor hand-washing facilities,8
Italian,Cross-contamination,15
Italian,Inadequate heat treatment,26
Italian,Storage too long,13
Italian,Infected food handler,10
Italian,Poor personal hygiene,2
Italian,Poor hand-washing facilities,1
Sandwich bar,Cross-contamination,14
Sandwich bar,Inadequate heat treatment,5
Sandwich bar,Storage too long,9
Sandwich bar,Infected food handler,11
Sandwich bar,Poor personal hygiene,2
Sandwich bar,Poor hand-washing facilities,2
Seafood,Cross-contamination,1
Seafood,Inadequate heat treatment,4
Seafood,Storage too long,1
Seafood,Infected food handler,4
Seafood,Poor personal hygiene,0
Seafood,Poor hand-washing facilities,0
Other,Cross-contamination,29
Other,Inadequate heat treatment,31
Other,Storage too long,24
Other,Infected food handler,13
Other,Poor personal hygiene,5
Other,Poor hand-washing facilities,5
