Cuisine,Type,Value
American,Red meat,3
American,Poultry meat,3
American,Finfish,1
American,Crustacean and shellfish,0
American,Eggs and egg dishes,0
American,Raw egg shell used in uncooked,1
American,Milk and dairy products,0
American,Rice,0
American,Vegetables and fruit,2
American,"Desserts, cakes and confectionary",1
American,Condiments and snacks,0
American,Mixed foods,1
American,Other foods,0
British,Red meat,8
British,Poultry meat,16
British,Finfish,6
British,Crustacean and shellfish,12
British,Eggs and egg dishes,4
British,Raw egg shell used in uncooked,10
British,Milk and dairy products,3
British,Rice,0
British,Vegetables and fruit,8
British,"Desserts, cakes and confectionary",7
British,Condiments and snacks,5
British,Mixed foods,7
British,Other foods,0
Chinese,Red meat,6
Chinese,Poultry meat,37
Chinese,Finfish,0
Chinese,Crustacean and shellfish,4
Chinese,Eggs and egg dishes,16
Chinese,Raw egg shell used in uncooked,9
Chinese,Milk and dairy products,0
Chinese,Rice,39
Chinese,Vegetables and fruit,4
Chinese,"Desserts, cakes and confectionary",3
Chinese,Condiments and snacks,4
Chinese,Mixed foods,28
Chinese,Other foods,3
Continental/ European,Red meat,1
Continental/ European,Poultry meat,11
Continental/ European,Finfish,7
Continental/ European,Crustacean and shellfish,3
Continental/ European,Eggs and egg dishes,2
Continental/ European,Raw egg shell used in uncooked,4
Continental/ European,Milk and dairy products,0
Continental/ European,Rice,1
Continental/ European,Vegetables and fruit,0
Continental/ European,"Desserts, cakes and confectionary",3
Continental/ European,Condiments and snacks,1
Continental/ European,Mixed foods,2
Continental/ European,Other foods,0
Indian,Red meat,11
Indian,Poultry meat,32
Indian,Finfish,0
Indian,Crustacean and shellfish,2
Indian,Eggs and egg dishes,0
Indian,Raw egg shell used in uncooked,1
Indian,Milk and dairy products,0
Indian,Rice,17
Indian,Vegetables and fruit,5
Indian,"Desserts, cakes and confectionary",0
Indian,Condiments and snacks,1
Indian,Mixed foods,16
Indian,Other foods,1
Italian,Red meat,5
Italian,Poultry meat,5
Italian,Finfish,4
Italian,Crustacean and shellfish,4
Italian,Eggs and egg dishes,5
Italian,Raw egg shell used in uncooked,24
Italian,Milk and dairy products,1
Italian,Rice,0
Italian,Vegetables and fruit,1
Italian,"Desserts, cakes and confectionary",23
Italian,Condiments and snacks,2
Italian,Mixed foods,11
Italian,Other foods,0
Sandwich bar,Red meat,3
Sandwich bar,Poultry meat,3
Sandwich bar,Finfish,5
Sandwich bar,Crustacean and shellfish,0
Sandwich bar,Eggs and egg dishes,2
Sandwich bar,Raw egg shell used in uncooked,2
Sandwich bar,Milk and dairy products,0
Sandwich bar,Rice,0
Sandwich bar,Vegetables and fruit,0
Sandwich bar,"Desserts, cakes and confectionary",0
Sandwich bar,Condiments and snacks,2
Sandwich bar,Mixed foods,11
Sandwich bar,Other foods,0
Seafood,Red meat,0
Seafood,Poultry meat,1
Seafood,Finfish,3
Seafood,Crustacean and shellfish,24
Seafood,Eggs and egg dishes,0
Seafood,Raw egg shell used in uncooked,0
Seafood,Milk and dairy products,1
Seafood,Rice,0
Seafood,Vegetables and fruit,1
Seafood,"Desserts, cakes and confectionary",0
Seafood,Condiments and snacks,0
Seafood,Mixed foods,0
Seafood,Other foods,0
Other,Red meat,10
Other,Poultry meat,16
Other,Finfish,11
Other,Crustacean and shellfish,12
Other,Eggs and egg dishes,6
Other,Raw egg shell used in uncooked,13
Other,Milk and dairy products,1
Other,Rice,3
Other,Vegetables and fruit,7
Other,"Desserts, cakes and confectionary",4
Other,Condiments and snacks,6
Other,Mixed foods,19
Other,Other foods,0
